plan,range,site_id,type,name,address,latitude,longitude
500,50,1,1,골든강남빌,"서울특별시 강남구 개포로31길 23-3",37.4804644000,127.0486160000
500,50,1,1,세종빌딩,"서울특별시 종로구 세종대로23길 54",37.5718397000,126.9733018000
500,50,1,1,수영빌딩,"서울특별시 용산구 한남대로20길 13",37.5349258000,127.0076796000
500,50,1,1,번동주공아파트,"서울특별시 강북구 오현로35길 62",37.6319752000,127.0382795000
500,50,1,1,창의벤처빌딩,"서울특별시 서초구 신반포로 27-12",37.5026069000,126.9874057000
500,50,1,1,반포아파트,"서울특별시 서초구 신반포로 27-6",37.5023254000,126.9875622000
500,50,1,1,골든빌라,"서울특별시 강남구 학동로67길 20",37.5196770000,127.0471392000
500,50,1,1,효성빌라,"서울특별시 송파구 송이로21길 32-11",37.4990972000,127.1233023000
500,50,1,1,화영빌라,"서울특별시 송파구 오금로44길 14",37.4963845000,127.1349800000
500,50,1,1,휴글빌딩,"서울특별시 송파구 양재대로62길 40",37.4964378000,127.1200250000
500,50,1,1,"한두리 빌라","서울특별시 송파구 송이로15길 36",37.5010580000,127.1229762000
500,50,1,1,한스빌,"서울특별시 송파구 동남로20길 51-14",37.4942646000,127.1373460000
500,50,1,1,현대골든빌라,"서울특별시 송파구 송이로17길 46-13",37.5008587000,127.1252540000
500,50,1,1,현대빌라,"서울특별시 송파구 송파대로30길 19-22",37.4960529000,127.1190207000
500,50,1,1,테마리슈빌,"서울특별시 송파구 중대로12길 8-18",37.4936085000,127.1225465000
500,50,1,1,파크빌딩,"서울특별시 송파구 송파대로32길 4-7",37.4949744000,127.1175365000
500,50,1,1,평화빌라,"서울특별시 송파구 오금로36길 68-5",37.4987904000,127.1210729000
500,50,1,1,중원빌딩,"서울특별시 송파구 오금로46길 28",37.4952700000,127.1343707000
500,50,1,1,주성파크빌,"서울특별시 송파구 오금로44가길 7",37.4971900000,127.1350456000
500,50,1,1,청송빌딩,"서울특별시 송파구 동남로 103",37.4899603000,127.1228371000
500,50,1,1,유성빌라,"서울특별시 송파구 동남로3길 17-11",37.4906282000,127.1211662000
500,50,1,1,일이빌딩,"서울특별시 송파구 송이로 111",37.4967206000,127.1221669000
500,50,1,1,정다운빌,"서울특별시 송파구 중대로14길 14",37.4947690000,127.1251908000
500,50,1,1,정문빌라,"서울특별시 송파구 문정로13길 19-5",37.4945869000,127.1347043000
500,50,1,1,예원빌리지,"서울특별시 송파구 오금로44길 41",37.4944898000,127.1330727000
500,50,1,1,우신빌라,"서울특별시 송파구 오금로34길 8-3",37.5027335000,127.1244403000
500,50,1,1,윤희빌,"서울특별시 송파구 송이로23길 16-19",37.4951602000,127.1257189000
500,50,1,1,이레빌딩,"서울특별시 송파구 중대로16길 6",37.4963273000,127.1254500000
500,50,1,1,애모리빌,"서울특별시 송파구 송이로23길 30-5",37.4967774000,127.1258396000
500,50,1,1,에이스존.빌,"서울특별시 송파구 동남로11길 22-5",37.4927955000,127.1263602000
500,50,1,1,시온빌딩,"서울특별시 송파구 오금로46길 29",37.4949265000,127.1344507000
500,50,1,1,스위트빌A,"서울특별시 송파구 송이로21길 51-1",37.4996814000,127.1219511000
500,50,1,1,신현대빌라,"서울특별시 송파구 양재대로64길 20",37.5003946000,127.1223888000
500,50,1,1,성보빌딩,"서울특별시 송파구 양재대로62길 44",37.4961592000,127.1202268000
500,50,1,1,성지빌라,"서울특별시 송파구 중대로9길 45-11",37.4976160000,127.1184889000
500,50,1,1,삼성빌라,"서울특별시 송파구 오금로44길 27",37.4954374000,127.1341705000
500,50,1,1,삼전빌딩,"서울특별시 송파구 동남로20길 22",37.4955888000,127.1343109000
500,50,1,1,상아빌딩,"서울특별시 송파구 송이로 171",37.4921004000,127.1260273000
500,50,1,1,샹지아빌,"서울특별시 송파구 동남로9길 17-9",37.4936070000,127.1263682000
500,50,1,1,성심빌라,"서울특별시 송파구 송이로19길 42-10",37.4994987000,127.1251025000
500,50,1,1,보람해피빌리지,"서울특별시 송파구 오금로44길 8",37.4968798000,127.1356441000
500,50,1,1,로드빌,"서울특별시 송파구 오금로34길 4-10",37.5033659000,127.1247413000
500,50,1,1,목화5차빌라트,"서울특별시 송파구 오금로34길 4-3",37.5030364000,127.1248307000
500,50,1,1,돈디빌,"서울특별시 송파구 동남로9길 11",37.4930754000,127.1267782000
500,50,1,1,동방빌라,"서울특별시 송파구 양재대로68길 3",37.5030520000,127.1230711000
500,50,1,1,동양빌라,"서울특별시 송파구 송파대로26길 10-1",37.4911416000,127.1212761000
500,50,1,1,두원빌딩,"서울특별시 송파구 중대로9길 44",37.4968745000,127.1188992000
500,50,1,1,다윤빌딩,"서울특별시 송파구 오금로 332",37.5014568000,127.1285216000
500,50,1,1,대성빌딩,"서울특별시 송파구 송이로21길 54",37.5000738000,127.1219177000
500,50,1,1,대호빌딩,"서울특별시 송파구 중대로9길 34",37.4961827000,127.1187345000
500,50,1,1,공육이오빌딩,"서울특별시 송파구 중대로9길 62",37.4977641000,127.1203593000
500,50,1,1,규현빌딩,"서울특별시 송파구 양재대로62길 33",37.4970674000,127.1198904000
500,50,1,1,금원빌,"서울특별시 송파구 오금로38가길 33",37.4994599000,127.1269589000
500,50,1,1,건영빌라,"서울특별시 송파구 문정로13길 15-10",37.4943352000,127.1346445000
500,50,1,1,"가락동훼미리오피스텔 2차","서울특별시 송파구 송파대로28길 6",37.4935229000,127.1190359000
500,50,1,1,가락스위트빌,"서울특별시 송파구 송이로23길 38",37.4974005000,127.1259517000
500,50,1,1,개롱파크빌,"서울특별시 송파구 오금로44나길 6",37.4963367000,127.1346831000
500,50,1,1,가락형제빌라,"서울특별시 송파구 문정로13길 15-12",37.4942449000,127.1345452000
500,50,1,1,가락금호아파트,"서울특별시 송파구 송파대로32길 15",37.4967033000,127.1162029000
500,50,1,1,우송쉐르빌,"서울특별시 구로구 남부순환로107가길 5",37.4791893000,126.8932123000
500,50,1,1,신우아트빌,"서울특별시 구로구 남부순환로105길 240-6",37.4854369000,126.8826117000
500,50,1,1,미래하이츠아파트,"서울특별시 구로구 남부순환로107길 12",37.4792122000,126.8940196000
500,50,1,1,동진아트빌,"서울특별시 구로구 구로동로7다길 15",37.4867228000,126.8824188000
500,50,1,1,금강파크빌,"서울특별시 구로구 디지털로20길 20",37.4796166000,126.8920046000
500,50,1,1,화인빌리지,"서울특별시 구로구 구로동로 15-10",37.4831782000,126.8863272000
500,50,1,1,창성에코빌,"서울특별시 구로구 구로동로7가길 5",37.4851033000,126.8853438000
500,50,1,1,진양빌라,"서울특별시 금천구 두산로9길 57",37.4729989000,126.8924247000
500,50,1,1,조양그랜드빌,"서울특별시 금천구 두산로9길 46",37.4724994000,126.8928535000
500,50,1,1,봉암빌라,"서울특별시 금천구 가산로7길 71",37.4737546000,126.8897327000
500,50,1,1,영화빌라,"서울특별시 금천구 시흥대로149가길 29-2",37.4762627000,126.8945329000
500,50,1,1,더빌딩파크빌,"서울특별시 금천구 가산로3길 140",37.4721467000,126.8877889000
500,50,1,1,로뎀아트빌,"서울특별시 금천구 남부순환로108길 20-1",37.4779980000,126.8920093000
500,50,1,1,라비앙캐슬,"서울특별시 금천구 시흥대로153길 68-6",37.4770261000,126.8947941000
500,50,1,1,백운한비치아파트,"서울특별시 금천구 남부순환로108길 23-10",37.4774247000,126.8924197000
500,50,1,1,공간오피스텔,"서울특별시 금천구 가산로7길 81",37.4734398000,126.8893552000
500,50,1,1,금강파크빌,"서울특별시 금천구 두산로3가길 12-5",37.4729536000,126.8896319000
500,50,1,1,노광빌라,"서울특별시 금천구 벚꽃로40길 29",37.4825655000,126.8843742000
500,50,1,1,대동아파트,"서울특별시 금천구 시흥대로153길 74-1",37.4768618000,126.8940750000
500,50,1,1,가산동빌딩,"서울특별시 금천구 남부순환로108길 27",37.4776089000,126.8919824000
500,50,1,1,흥림아트빌,"서울특별시 강서구 양천로47나길 42",37.5722380000,126.8398841000
500,50,1,1,한영빌딩,"서울특별시 강서구 양천로49길 25",37.5697811000,126.8405718000
500,50,1,1,우성빌라,"서울특별시 강서구 양천로47가길 28",37.5707729000,126.8394673000
